D-14,D-13,D-12,D-11,D-10,D-9,D-8,D-7,D-6,D-5,D-4,D-3,D-2,D-1,Dday,marketAverage,fluctuation,amount,label
1.05,-0.69,1.4,-1.38,-0.87,1.06,0.87,0.35,2.59,0.84,-0.33,-1.0,0.51,-0.17,1.35,1.15,1,3,3.6544850498338777
0.42,0.14,2.35,0.13,-0.27,-1.22,-1.92,2.23,-1.5,0.55,1.52,0.68,2.96,0.13,-0.78,-1.23,1,3,-6.060606060606055
-0.63,-0.64,0.16,-0.32,0.16,1.61,-0.16,0.95,0.94,-0.16,0.31,0.93,-1.85,-0.63,1.26,0.16,1,3,-7.943925233644855
2.11,1.43,-0.63,-0.31,-0.47,-1.59,-2.74,6.14,-1.09,-0.79,2.55,0.78,0.62,-0.92,1.55,1.16,1,3,-8.52359208523592
-0.5,0.33,-0.17,-0.33,-0.67,-0.5,1.18,-2.5,18.66,-3.9,2.1,-2.94,0.0,0.15,-1.06,-0.63,1,3,11.620795107033643
2.34,-1.21,-2.86,-0.56,2.26,2.9,-0.67,-2.97,0.0,-3.34,-6.47,-3.85,3.2,10.23,0.7,0.78,1,3,10.474860335195535
2.61,1.04,1.72,-0.79,-0.11,-0.34,-0.57,-2.41,-1.76,-1.67,0.24,-1.82,1.98,-1.33,1.11,0.85,1,3,5.2247873633049835
-0.2,-2.99,0.21,0.31,-2.46,7.45,0.59,-0.39,1.36,-1.73,0.59,0.58,0.58,-0.77,1.16,0.67,1,3,0.9578544061302763
1.3,-2.2,-3.0,4.05,-1.86,-4.73,1.39,-0.59,1.38,0.58,5.02,3.13,-2.5,6.4,-1.2,0.42,1,3,24.52173913043478
-0.73,0.74,2.8,-0.95,0.24,-0.72,2.4,1.52,-0.58,0.0,1.63,1.49,0.68,0.0,-1.12,-1.39,1,3,-3.8461538461538436
0.16,-2.09,-0.49,0.33,2.79,-1.28,-1.78,2.14,-2.42,1.98,-1.46,0.33,-1.64,0.0,0.33,1.49,1,3,-11.129568106312293
6.1,0.72,29.85,-9.34,1.21,-4.49,0.21,-0.94,-1.37,-3.95,-0.22,1.11,3.08,-1.39,0.43,-1.0,1,3,-12.729234088457385
-1.41,-1.07,3.01,0.47,-3.14,15.25,-8.33,3.07,0.11,14.54,-4.9,-2.12,-0.83,1.46,2.57,1.43,2,3,24.124124124124123
-3.72,-0.21,9.68,-2.65,-6.04,0.64,-1.28,0.11,-2.59,-5.75,-1.41,-1.07,3.01,0.47,-3.14,0.56,2,3,43.817527010804326
-0.87,0.63,-0.62,3.63,-4.35,9.86,-0.81,6.26,-6.11,-1.51,-4.6,-2.23,-4.43,11.39,-9.39,0.89,2,3,-11.5485564304462
-0.19,0.77,2.29,-3.54,-2.13,-4.15,-2.68,-2.54,14.78,13.45,2.84,-3.57,-10.94,-5.29,-2.4,0.78,2,3,-8.997955010224945
18.86,-1.44,0.98,-4.73,6.49,0.48,0.0,29.86,3.65,29.93,-6.23,-13.29,-2.0,5.44,-6.77,0.05,2,3,-38.477508650519034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58,-0.18,2,3,10.755148741418763
